CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
1,56,Male,UK,83094,5,8,5,Low,Bronze,100.0
2,69,Male,UK,86860,10,2,8,Medium,Gold,100.0
3,46,Female,USA,60173,8,10,18,Medium,Silver,100.0
4,32,Female,UK,73884,7,10,16,Low,Gold,100.0
5,60,Male,UK,97546,6,4,13,Low,Bronze,82.0
6,25,Male,France,49364,5,7,19,High,Silver,80.71
7,38,Female,Germany,39716,10,6,11,High,Silver,100.0
8,56,Female,Germany,45305,10,10,10,Medium,Gold,100.0
9,36,Male,France,98001,10,2,12,High,Bronze,100.0
10,40,Female,UK,85307,6,4,20,High,Gold,86.48
11,28,Female,Canada,46732,9,3,3,High,Gold,94.6
12,28,Female,France,38742,8,6,13,Medium,Silver,81.85
13,41,Male,Germany,30028,8,6,20,Medium,Bronze,95.99
14,53,Female,USA,58353,6,8,17,Medium,Bronze,100.0
15,57,Female,Germany,75657,1,8,15,Medium,Silver,100.0
16,41,Female,Canada,59164,1,5,10,Medium,Silver,52.34
17,20,Female,Germany,73887,5,4,7,Medium,Silver,73.48
18,39,Female,France,63522,8,3,8,High,Gold,86.31
19,19,Male,USA,88593,5,9,8,High,Bronze,100.0
20,41,Female,Germany,37901,7,5,17,Low,Gold,85.16
21,61,Female,France,41595,2,4,11,High,Gold,69.85
22,47,Female,France,95043,7,2,5,High,Bronze,92.23
23,55,Female,France,42216,5,6,2,Medium,Gold,90.59
24,19,Male,USA,59536,10,5,7,High,Silver,99.65
25,38,Male,France,48184,3,2,2,Low,Gold,49.73
26,50,Male,USA,116529,1,5,18,Medium,Silver,70.82
27,29,Female,Canada,92619,9,8,15,Low,Gold,100.0
28,39,Female,Canada,102225,10,4,14,Low,Gold,100.0
29,61,Male,Canada,108541,7,1,1,Medium,Silver,75.74
30,42,Male,France,48768,8,8,16,High,Gold,100.0
31,66,Male,USA,95975,10,7,7,Medium,Bronze,100.0
32,44,Male,Canada,41604,10,9,11,Medium,Bronze,100.0
33,59,Male,UK,100739,4,8,18,Medium,Bronze,100.0
34,45,Male,Canada,119278,3,7,10,High,Gold,100.0
35,33,Female,France,112220,5,7,17,Low,Silver,100.0
36,32,Female,UK,113282,1,10,4,High,Bronze,100.0
37,64,Male,Germany,65286,6,1,7,Low,Silver,88.16
38,68,Female,UK,40530,1,6,17,High,Bronze,63.97
39,61,Female,Germany,34580,8,9,9,High,Bronze,100.0
40,69,Male,UK,75929,5,7,3,Low,Bronze,91.94
41,20,Male,USA,112595,10,5,13,Medium,Gold,100.0
42,54,Female,UK,37897,7,1,20,Low,Bronze,72.89
43,68,Female,Canada,87990,4,10,20,High,Bronze,100.0
44,24,Female,Germany,91060,5,6,5,Low,Silver,96.58
45,38,Male,Germany,110598,2,4,2,Medium,Silver,63.49
46,26,Female,Canada,40211,7,3,18,High,Silver,79.86
47,56,Male,USA,36990,9,5,7,Medium,Silver,98.21
48,35,Male,UK,55680,7,1,3,Low,Silver,46.66
49,21,Female,USA,54175,4,7,5,Low,Bronze,86.36
50,42,Male,Canada,111018,8,3,20,Medium,Gold,100.0
51,31,Male,UK,43211,6,6,11,High,Bronze,81.61
52,67,Male,Canada,114860,6,7,12,High,Bronze,100.0
53,26,Female,Germany,57358,3,4,19,High,Silver,63.75
54,43,Female,Germany,54191,2,7,18,Low,Gold,94.73
55,19,Female,Germany,99965,3,10,4,High,Gold,100.0
56,37,Male,France,114041,7,8,11,High,Silver,100.0
57,45,Female,France,70385,3,10,16,Low,Bronze,100.0
58,64,Male,Germany,55312,7,9,7,Low,Bronze,99.01
59,24,Female,France,99717,3,9,1,High,Silver,91.14
60,61,Male,France,116849,4,7,16,Medium,Silver,100.0
61,25,Female,Canada,39919,5,1,15,Low,Gold,59.41
62,64,Female,UK,108598,2,5,3,Medium,Gold,90.05
63,52,Male,Germany,81699,5,10,17,High,Gold,100.0
64,31,Male,France,56536,10,1,1,High,Gold,67.19
65,34,Female,Canada,70364,6,1,18,High,Gold,60.67
66,53,Female,Canada,99149,9,2,8,Low,Bronze,87.19
67,67,Male,UK,115925,10,3,18,High,Gold,100.0
68,57,Female,Canada,34262,4,9,18,High,Gold,99.86
69,21,Male,USA,64450,10,3,4,Medium,Silver,100.0
70,19,Male,USA,75486,5,4,20,Low,Silver,80.11
71,23,Male,Germany,91477,4,3,14,High,Silver,91.6
72,59,Male,UK,60308,5,2,6,High,Bronze,76.91
73,21,Male,USA,43257,1,4,4,Low,Silver,46.58
74,46,Male,UK,104318,8,10,9,Low,Bronze,100.0
75,35,Male,Germany,98548,9,9,10,Medium,Silver,100.0
76,43,Male,Canada,90145,3,6,3,Medium,Bronze,78.7
77,61,Male,Canada,64282,10,1,16,Medium,Bronze,83.31
78,51,Male,Canada,58514,3,6,17,Medium,Bronze,87.35
79,27,Male,USA,47155,9,5,1,High,Silver,87.48
80,53,Male,UK,95408,9,8,11,Low,Bronze,100.0
81,31,Male,USA,102144,7,9,2,Low,Silver,91.72
82,48,Male,France,84868,5,4,11,Low,Gold,71.21
83,65,Male,UK,56005,1,8,12,Low,Gold,88.37
84,32,Male,Germany,41451,9,8,1,Low,Gold,100.0
85,25,Female,USA,65875,6,4,11,Low,Gold,84.12
86,31,Female,Canada,118933,3,1,17,Low,Bronze,51.57
87,40,Male,Canada,115896,5,4,9,Medium,Silver,79.53
88,57,Female,Canada,98973,9,10,15,Medium,Silver,100.0
89,38,Female,USA,44838,1,7,16,High,Bronze,84.79
90,33,Female,USA,108700,10,3,1,Medium,Silver,100.0
91,62,Male,Canada,69885,1,6,14,Medium,Gold,71.42
92,35,Male,Canada,71049,10,2,7,High,Silver,77.42
93,64,Male,Canada,56243,4,10,6,Medium,Gold,100.0
94,41,Female,France,65122,6,7,18,Medium,Gold,82.91
95,43,Female,USA,52438,3,8,12,Low,Gold,91.78
96,42,Male,Canada,38297,3,9,6,High,Gold,81.73
97,62,Female,Germany,87011,4,1,10,Medium,Gold,83.53
98,58,Female,Canada,114170,1,9,13,Medium,Gold,100.0
99,46,Male,USA,51814,5,3,2,High,Gold,62.79
100,32,Female,Germany,48027,8,7,6,High,Gold,73.83
101,62,Female,USA,84302,6,6,17,Low,Bronze,100.0
102,18,Male,USA,73911,3,9,13,Low,Gold,87.24
103,42,Female,USA,42143,4,9,14,High,Gold,100.0
104,24,Male,UK,109502,5,4,11,Low,Gold,84.43
105,26,Male,Germany,78192,5,5,11,High,Silver,85.26
106,41,Male,France,92190,2,4,8,Medium,Gold,59.89
107,18,Male,France,79929,3,9,9,Low,Bronze,79.86
108,61,Male,UK,40839,10,5,8,Low,Gold,90.56
109,25,Male,USA,110206,8,9,2,Medium,Bronze,100.0
110,41,Male,France,87200,1,8,7,Medium,Bronze,93.71
111,28,Female,Germany,49631,4,2,19,Low,Gold,79.97
112,68,Male,Canada,112389,2,6,3,Medium,Bronze,81.08
113,34,Female,Germany,67911,9,7,6,Medium,Gold,100.0
114,25,Female,USA,35065,7,3,13,Medium,Silver,78.74
115,52,Male,Germany,72646,6,9,16,Medium,Gold,100.0
116,52,Female,USA,39540,4,4,20,High,Gold,74.69
117,50,Male,Germany,106576,1,4,10,High,Silver,70.77
118,22,Male,UK,68947,9,4,6,High,Silver,85.99
119,59,Male,Germany,114199,3,3,1,High,Silver,76.93
120,56,Male,France,96881,3,6,17,Low,Silver,99.16
121,58,Male,Canada,114907,6,9,14,Low,Gold,97.81
122,45,Male,UK,106990,6,6,17,High,Silver,100.0
123,24,Female,Germany,31196,4,2,3,Medium,Gold,63.03
124,26,Female,USA,93460,5,7,4,Low,Bronze,99.76
125,25,Female,UK,60328,5,8,1,Low,Silver,79.87
126,29,Female,France,91303,6,9,10,High,Gold,100.0
127,51,Female,Canada,52193,3,3,9,High,Silver,68.52
128,50,Male,Canada,72818,9,9,14,Low,Silver,100.0
129,65,Female,Germany,73862,7,6,13,Medium,Gold,100.0
130,40,Male,France,61460,4,10,8,Low,Bronze,85.23
131,41,Male,France,40368,3,7,8,Medium,Bronze,72.15
132,54,Male,Canada,95265,10,1,5,High,Bronze,96.28
133,52,Male,Canada,33910,7,9,16,Low,Silver,100.0
134,61,Male,France,112935,5,3,19,Medium,Bronze,89.43
